DEPTH,FEATURE0,FEATURE1
125.74391695246572,714,1127
125.75499536253577,715,1124
125.76607377260582,669,1108
125.77715218267588,794,1140
125.78823059274593,271,1045
125.79930900281599,363,1126
125.81038741288603,645,1126
125.82146582295609,652,1129
125.83254423302614,582,1130
125.84362264309618,622,1126
125.85470105316624,503,1109
125.8657794632363,453,1126
125.87685787330634,449,1127
125.88793628337639,488,1106
125.89901469344645,454,1128
125.9100931035165,505,1126
125.92117151358656,497,1127
125.9322499236566,481,1107
125.94332833372665,507,1124
125.95440674379671,476,1124
125.96548515386675,497,1109
125.9765635639368,499,1110
125.98764197400686,495,1108
125.9987203840769,508,1117
126.00979879414696,493,1108
126.02087720421702,496,1109
126.03195561428706,493,1109
126.04303402435711,472,1107
126.05411243442717,471,1127
126.06519084449722,475,1126
126.07626925456728,496,1111
126.08734766463732,487,1127
126.09842607470738,477,1126
126.10950448477742,489,1110
126.12058289484747,466,1109
126.13166130491753,448,1128
126.14273971498758,430,1045
126.15381812505763,518,1263
126.16489653512768,629,1126
126.17597494519774,652,1142
126.18705335526778,652,1126
126.19813176533783,531,1127
126.20921017540789,162,1129
126.22028858547795,441,1110
126.23136699554799,558,1128
126.24244540561804,574,1124
126.25352381568808,558,1125
126.26460222575815,557,1127
126.2756806358282,559,1110
126.28675904589825,402,1126
126.2978374559683,98,1129
126.30891586603835,385,1126
126.3199942761084,459,1127
126.33107268617846,558,1125
126.3421510962485,400,1126
126.35322950631856,558,1126
126.36430791638861,557,1127
126.37538632645865,400,1109
126.38646473652871,401,1123
126.39754314659876,558,1111
126.40862155666882,557,1126
126.41969996673888,574,1155
126.43077837680892,559,1125
126.44185678687897,322,1127
126.45293519694903,558,1110
126.46401360701907,86,1118
126.47509201708912,89,1128
126.48617042715918,433,1129
126.49724883722922,85,1130
126.50832724729928,417,1107
126.51940565736933,359,1127
126.53048406743937,558,1127
126.54156247750943,675,1126
126.55264088757949,685,1128
126.56371929764954,683,1128
126.5747977077196,672,1127
126.58587611778964,664,1128
126.5969545278597,658,1110
126.60803293792974,621,1126
126.61911134799979,623,1126
126.63018975806985,588,1111
126.6412681681399,570,1126
126.65234657820994,515,1128
126.66342498828,461,1110
126.67450339835005,446,1127
126.6855818084201,515,1109
126.69666021849015,482,1126
126.70773862856021,470,1111
126.71881703863026,455,1139
126.7298954487003,423,1125
126.74097385877036,426,1122
126.7520522688404,419,1126
126.76313067891047,410,1133
126.77420908898051,408,1139
126.78528749905057,406,1129
126.79636590912062,404,1154
126.80744431919067,400,1137
126.81852272926072,401,1145
126.82960113933078,147,1106
126.84067954940082,397,1122
126.85175795947087,398,1147
126.86283636954093,403,1150
126.87391477961097,405,1139
126.88499318968103,402,1145
126.89607159975108,407,1129
126.90715000982114,411,1139
126.9182284198912,412,1150
126.92930682996123,413,1150
126.94038524003129,413,1163
126.95146365010135,416,1140
126.96254206017139,414,1161
126.97362047024144,415,1117
126.9846988803115,412,1137
126.99577729038154,406,1164
127.0068557004516,414,1149
127.01793411052165,418,1095
127.02901252059169,424,1122
127.04009093066175,423,1126
127.0511693407318,426,1125
127.06224775080186,430,1109
127.07332616087191,433,1098
127.08440457094196,431,1102
127.09548298101201,434,1111
